id,x,y
1,131,8
2,131,41
3,131,69
4,131,76
5,131,82
6,131,86
7,131,88
8,131,100
9,121,102
10,132,114
11,58,114
12,88,115
13,121,116
14,138,115
15,145,115
16,151,114
17,153,115
18,137,360
19,58,126
20,99,131
21,121,375
22,96,126
23,108,126
24,58,128
25,102,128
26,58,132
27,70,132
28,88,136
29,151,152
30,154,137
31,158,137
32,153,140
33,88,143
34,70,144
35,88,148
36,70,153
37,138,157
38,88,157
39,70,159
40,88,159
41,154,159
42,138,166
43,70,164
44,88,164
45,153,164
46,70,170
47,138,174
48,70,174
49,151,196
50,70,177
51,138,177
52,70,179
53,138,179
54,70,182
55,70,185
56,58,189
57,60,187
58,66,187
59,88,188
60,153,186
61,60,189
62,66,189
63,70,189
64,154,189
65,70,193
66,88,194
67,144,194
68,154,194
69,58,197
70,60,198
71,66,197
72,70,200
73,88,197
74,59,204
75,66,204
76,88,204
77,100,201
78,108,201
79,154,201
80,70,206
81,155,206
82,170,206
83,70,209
84,70,212
85,154,213
86,58,212
87,88,212
88,145,213
89,70,228
90,58,224
91,66,221
92,88,223
93,154,241
94,66,224
95,105,224
96,170,224
97,92,224
98,60,228
99,66,228
100,88,228
101,100,228
102,104,228
103,108,228
104,115,228
105,58,231
106,58,234
107,138,234
108,60,234
109,66,234
110,153,234
111,58,238
112,60,238
113,66,238
114,138,238
115,59,243
116,66,244
117,138,244
118,154,243
119,56,243
120,70,244
121,88,243
122,70,251
123,58,248
124,58,251
125,138,256
126,60,252
127,66,252
128,58,258
129,66,256
130,153,257
131,60,256
132,60,260
133,66,260
134,70,260
135,88,259
136,56,260
137,58,266
138,60,265
139,66,264
140,70,265
141,138,264
142,153,264
143,66,266
144,153,267
145,70,269
146,138,269
147,154,269
148,58,270
149,70,272
150,56,273
151,58,273
152,60,273
153,66,273
154,88,273
155,138,273
156,56,277
157,59,282
158,66,281
159,70,283
160,138,277
161,154,278
162,88,278
163,88,282
164,138,280
165,154,280
166,170,281
167,56,283
168,58,294
169,70,296
170,60,294
171,66,294
172,138,295
173,60,296
174,66,296
175,58,301
176,151,302
177,58,304
178,60,304
179,66,304
180,70,308
181,58,306
182,151,310
183,56,310
184,58,322
185,60,312
186,66,310
187,138,311
188,154,311
189,66,313
190,70,316
191,60,324
192,66,317
193,138,316
194,151,316
195,66,321
196,70,321
197,151,324
198,70,324
199,66,328
200,70,327
201,70,331
202,138,331
203,151,331
204,60,333
205,66,333
206,70,335
207,151,334
208,58,338
209,151,351
210,60,338
211,66,338
212,70,339
213,58,342
214,60,342
215,70,344
216,22,345
217,32,345
218,58,345
219,64,345
220,66,345
221,88,346
222,138,346
223,154,346
224,70,355
225,58,350
226,138,350
227,154,350
228,58,354
229,60,352
230,60,356
231,138,355
232,154,354
233,66,356
234,88,356
235,138,361
236,58,360
237,88,360
238,58,364
239,70,365
240,70,367
241,70,370
242,138,369
243,151,427
244,154,369
245,58,370
246,70,373
247,58,378
248,66,378
249,70,376
250,70,379
251,58,385
252,70,382
253,138,382
254,154,382
255,60,384
256,66,385
257,70,384
258,56,387
259,60,387
260,66,387
261,88,387
262,138,387
263,153,387
264,70,388
265,58,392
266,70,391
267,138,391
268,153,391
269,70,394
270,153,396
271,70,398
272,154,407
273,70,404
274,170,403
275,58,404
276,60,404
277,58,408
278,60,408
279,58,417
280,70,411
281,60,412
282,88,412
283,64,414
284,66,414
285,70,414
286,88,414
287,170,415
288,60,418
289,70,418
290,88,418
291,155,425
292,170,421
293,60,421
294,70,422
295,88,420
296,60,423
297,60,425
298,70,426
299,170,427
300,70,430
301,70,436
302,170,433
303,58,439
304,60,435
305,60,439
306,66,439
307,56,438
308,60,444
309,66,444
310,70,442
311,138,449
312,70,444
313,58,450
314,154,447
315,56,448
316,60,451
317,66,450
318,70,458
319,154,453
320,56,452
321,138,458
322,154,457
323,58,461
324,153,459
325,60,460
326,66,460
327,138,465
328,58,468
329,88,466
330,60,468
331,66,468
332,88,469
333,138,471
334,154,470
335,60,471
336,70,475
337,58,474
338,154,474
339,66,474
340,88,474
341,138,478
342,154,478
343,59,486
344,70,486
345,56,483
346,66,483
347,88,484
348,138,485
349,153,482
350,60,488
351,66,487
352,154,486
353,66,490
354,88,489
355,151,495
356,88,491
357,138,493
358,70,496
359,154,494
360,58,497
361,60,496
362,66,496
363,58,502
364,70,504
365,138,511
366,155,588
367,155,507
368,59,508
369,60,504
370,145,505
371,56,507
372,66,508
373,70,508
374,88,507
375,145,507
376,56,510
377,66,510
378,70,511
379,88,512
380,58,522
381,70,516
382,155,517
383,60,518
384,66,518
385,70,519
386,88,518
387,145,518
388,170,518
389,60,522
390,56,522
391,66,523
392,70,523
393,88,523
394,153,523
395,70,525
396,154,527
397,60,528
398,66,526
399,70,527
400,70,530
401,153,532
402,58,532
403,70,534
404,153,536
405,70,538
406,58,538
407,154,542
408,58,554
409,60,544
410,66,542
411,70,540
412,66,545
413,70,550
414,60,552
415,66,551
416,88,550
417,154,552
418,145,552
419,154,558
420,30,559
421,33,559
422,48,559
423,66,560
424,70,566
425,88,558
426,145,558
427,58,562
428,58,566
429,88,565
430,170,564
431,58,570
432,60,570
433,58,574
434,60,574
435,66,574
436,70,575
437,59,583
438,70,584
439,66,582
440,56,582
441,60,587
442,66,588
443,170,587
444,88,588
445,166,588
446,170,598
447,58,592
448,70,593
449,70,596
450,56,597
451,66,596
452,102,596
453,70,598
454,88,600
455,70,600
456,70,605
457,70,608
458,170,612
459,70,612
460,70,614
461,5,617
462,8,617
463,10,617
464,43,617
465,67,617
466,90,617
467,70,621
468,170,620
469,70,623
470,138,626
471,70,628
472,138,629
473,151,628
474,70,631
475,121,631
476,70,633
477,121,633
478,64,637
479,135,896
480,70,642
481,121,644
482,151,644
483,58,647
484,60,647
485,64,647
486,66,647
487,70,648
488,121,673
489,151,648
490,154,648
491,58,653
492,60,653
493,151,652
494,70,655
495,138,665
496,151,672
497,154,656
498,70,682
499,154,658
500,58,664
501,154,664
502,58,667
503,153,667
504,88,669
505,154,671
506,58,671
507,88,671
508,170,671
509,58,673
510,58,676
511,138,679
512,138,681
513,138,685
514,58,684
515,88,684
516,154,685
517,151,694
518,121,704
519,70,708
520,121,706
521,70,712
522,121,718
523,70,720
524,138,718
525,151,723
526,138,721
527,154,722
528,58,722
529,138,725
530,70,729
531,121,726
532,153,728
533,121,728
534,138,728
535,121,732
536,70,734
537,151,734
538,70,746
539,121,739
540,151,746
541,58,738
542,153,742
543,121,744
544,138,748
545,154,749
546,121,750
547,138,751
548,121,755
549,138,754
550,154,754
551,151,758
552,70,758
553,70,760
554,70,764
555,151,764
556,121,764
557,138,764
558,154,764
559,70,766
560,70,771
561,151,813
562,121,770
563,138,770
564,154,770
565,154,777
566,70,776
567,121,776
568,138,777
569,70,779
570,121,781
571,70,782
572,138,782
573,70,786
574,138,798
575,156,799
576,121,796
577,70,792
578,70,797
579,70,801
580,145,800
581,170,800
582,145,802
583,70,808
584,138,824
585,155,823
586,70,814
587,70,816
588,70,819
589,70,828
590,121,826
591,121,840
592,70,836
593,70,840
594,70,854
595,138,844
596,153,844
597,138,851
598,154,851
599,121,854
600,138,858
601,154,859
602,138,878
603,156,940
604,121,876
605,70,874
606,170,867
607,58,871
608,170,872
609,58,873
610,170,874
611,58,876
612,88,877
613,170,880
614,145,881
615,166,881
616,70,885
617,70,887
618,170,887
619,70,889
620,121,896
621,70,891
622,138,890
623,70,893
624,138,893
625,170,893
626,70,897
627,138,896
628,70,902
629,170,903
630,70,908
631,145,907
632,170,907
633,121,908
634,145,909
635,70,911
636,145,911
637,170,913
638,70,914
639,145,914
640,70,918
641,121,928
642,170,920
643,70,921
644,145,920
645,170,922
646,70,926
647,170,926
648,70,930
649,170,929
650,145,930
651,70,935
652,145,932
653,170,933
654,145,936
655,170,936
656,70,940
657,121,940
658,70,944
659,121,956
660,70,952
661,145,948
662,88,950
663,170,952
664,88,956
665,144,955
666,170,955
667,170,958
668,70,960
669,88,959
670,70,962
671,70,965
672,121,978
673,145,968
674,170,968
675,70,970
676,70,972
677,88,974
678,70,976
679,88,979
680,170,978
681,70,982
682,170,982
683,70,986
684,70,991
685,121,992
686,170,992
687,121,999
688,145,996
689,139,1004
690,121,1010
691,132,1012
692,138,1012
693,154,1012
694,132,1016
695,138,1016
696,154,1016
697,132,1020
698,138,1023
699,154,1020
700,154,1022
701,132,1024
702,154,1025
703,157,1024
704,132,1027
705,138,1029
706,138,1041
707,155,1034
708,151,1032
709,132,1034
710,145,1035
711,151,1036
712,155,1038
713,132,1038
714,151,1045
715,155,1044
716,132,1044
717,151,1052
718,154,1053
719,151,1059
720,151,1061
721,138,1075
722,151,1076
723,155,1075
724,138,1081
725,151,1081
726,154,1081
727,121,1093
728,138,1102
729,121,1104
730,132,1104
731,151,1104
732,138,1106
733,121,1106
